Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         269.45,   303423.37815,  5319381.54700, 11,   257.218
  3,  1,         871.10,   303297.66280,  5319967.74487, 11,   263.218
  4,  1,        1490.35,   303346.42679,  5320568.23249, 11,   257.218
  5,  1,        2385.90,   303855.05524,  5321284.63297, 11,   257.218
  6,  1,        3869.90,   304534.09527,  5322564.41892, 11,   257.218
  7,  1,        5343.80,   305023.13725,  5323953.64578, 11,   255.218
  8,  1,        6502.65,   305358.01738,  5325057.71559, 11,   255.218
  9,  1,        7606.35,   305251.59556,  5326105.59481, 11,   255.218
 10,  1,        8880.50,   304428.00226,  5327010.67680, 11,   263.218
 11,  1,       10430.85,   303108.88577,  5327823.33501, 11,   263.218
 12,  1,       11806.65,   301915.93401,  5328508.65431, 11,   263.218
 13,  1,       12889.80,   301285.92824,  5329293.39653, 11,   263.218
 14,  1,       14063.20,   300992.37527,  5330428.92594, 11,   259.218
 15,  1,       15497.15,   300645.63855,  5331820.11164, 11,   251.218
 16,  1,       17503.90,   300394.05095,  5333799.47665, 11,   251.218
 17,  1,       20301.60,   299705.91138,  5336461.18486, 11,   253.218
 18,  1,       23314.15,   297866.15026,  5338688.34438, 11,   251.218
 19,  1,       25634.35,   295788.49305,  5339343.48004, 11,   251.218
 20,  1,       28043.65,   293681.21654,  5340112.49306, 11,   251.218
 21,  1,       30550.65,   291561.70664,  5340588.75494, 11,   249.218
 22,  1,       32511.05,   289997.19214,  5339462.00632, 11,   249.218
 23,  1,       35109.10,   287858.61508,  5338057.65351, 11,   247.218
 24,  1,       37606.80,   285547.66344,  5337137.69184, 11,   245.218
 25,  1,       39491.20,   283851.35555,  5336372.17195, 11,   245.218
 26,  1,       41821.80,   281902.83051,  5336561.41476, 11,   249.218
 27,  1,       43761.00,   280201.06786,  5337431.16832, 11,   247.218
 28,  1,       45605.65,   278739.46419,  5336690.56931, 11,   245.218
 29,  1,       48455.30,   277604.95480,  5334215.86003, 11,   245.218
 30,  1,       51237.60,   277047.94768,  5331491.87955, 11,   241.218
 31,  1,       53429.20,   275738.30388,  5330455.90758, 11,   239.218
 32,  1,       55947.60,   273227.65327,  5330438.98648, 11,   235.218
 33,  1,       58924.10,   270748.14300,  5331439.26747, 11,   227.218
 34,  1,       61803.05,   268438.34473,  5332999.55394, 11,   221.218
 35,  1,       64573.15,   265746.73930,  5333535.89390, 11,   221.218
 36,  1,       67180.50,   263650.06349,  5332624.43837, 11,   229.218
 37,  1,       69358.70,   262106.11784,  5331156.75288, 11,   231.218
 38,  1,       71789.95,   260124.44433,  5329759.95022, 11,   229.218
 39,  1,       74772.70,   257889.86275,  5327789.53585, 11,   227.218
 40,  1,       77165.10,   256380.71637,  5325964.34717, 11,   227.218
 41,  1,       78538.90,   255562.07301,  5324895.89321, 11,   227.218
 42,  1,       79482.05,   254716.21318,  5324580.21493, 11,   227.218
