                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40544.000,   1,  0.21504926E+06,   0.00000000E+00,  -0.23072869E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33726783E-09,
 40544.999,   1,  0.26010990E+09,   0.00000000E+00,  -0.24470620E+09,   0.00000000E+00,   0.00000000E+00,  -0.15313248E+08,   0.00000000E+00,   0.00000000E+00,   0.21234741E-09,
 40546.000,   1,  0.55599834E+09,   0.00000000E+00,  -0.53381155E+09,   0.00000000E+00,   0.00000000E+00,  -0.10940600E+08,   0.00000000E+00,   0.00000000E+00,  -0.86124770E-12,
 40547.000,   1,  0.82620311E+09,   0.00000000E+00,  -0.83715826E+09,   0.00000000E+00,   0.00000000E+00,   0.20454726E+08,   0.00000000E+00,   0.00000000E+00,   0.50979915E-10,
 40548.000,   1,  0.11048842E+10,   0.00000000E+00,  -0.11317260E+10,   0.00000000E+00,   0.00000000E+00,   0.34019771E+08,   0.00000000E+00,   0.00000000E+00,   0.10971525E-09,
 40549.000,   1,  0.14125742E+10,   0.00000000E+00,  -0.14339877E+10,   0.00000000E+00,   0.00000000E+00,   0.29005925E+08,   0.00000000E+00,   0.00000000E+00,   0.35511490E-10,
 40550.000,   1,  0.17105285E+10,   0.00000000E+00,  -0.17146554E+10,   0.00000000E+00,   0.00000000E+00,   0.12852732E+08,   0.00000000E+00,   0.00000000E+00,   0.26268763E-09,
 40551.000,   1,  0.19981295E+10,   0.00000000E+00,  -0.19819193E+10,   0.00000000E+00,   0.00000000E+00,  -0.42174736E+06,   0.00000000E+00,   0.00000000E+00,   0.22476567E-09,
 40551.999,   1,  0.22765378E+10,   0.00000000E+00,  -0.22269924E+10,   0.00000000E+00,   0.00000000E+00,  -0.29112287E+08,   0.00000000E+00,   0.00000000E+00,   0.27325507E-09,
 40552.999,   1,  0.25114066E+10,   0.00000000E+00,  -0.24510664E+10,   0.00000000E+00,   0.00000000E+00,  -0.43861452E+08,   0.00000000E+00,   0.00000000E+00,   0.24184502E-09,
 40554.000,   1,  0.26998319E+10,   0.00000000E+00,  -0.26842625E+10,   0.00000000E+00,   0.00000000E+00,  -0.46720425E+07,   0.00000000E+00,   0.00000000E+00,   0.44239183E-09,
 40554.999,   1,  0.29154510E+10,   0.00000000E+00,  -0.29407591E+10,   0.00000000E+00,   0.00000000E+00,   0.38477164E+08,   0.00000000E+00,   0.00000000E+00,   0.55418074E-09,
 40556.000,   1,  0.32041384E+10,   0.00000000E+00,  -0.32336890E+10,   0.00000000E+00,   0.00000000E+00,   0.44249589E+08,   0.00000000E+00,   0.00000000E+00,   0.76309002E-09,
 40556.999,   1,  0.35272952E+10,   0.00000000E+00,  -0.35335138E+10,   0.00000000E+00,   0.00000000E+00,   0.21053517E+08,   0.00000000E+00,   0.00000000E+00,   0.84647660E-09,
 40557.999,   1,  0.38321684E+10,   0.00000000E+00,  -0.38026152E+10,   0.00000000E+00,   0.00000000E+00,  -0.13083646E+08,   0.00000000E+00,   0.00000000E+00,   0.59738560E-09,
 40559.000,   1,  0.40827129E+10,   0.00000000E+00,  -0.40254409E+10,   0.00000000E+00,   0.00000000E+00,  -0.45599618E+08,   0.00000000E+00,   0.00000000E+00,   0.41976836E-09,
 40560.000,   1,  0.42690017E+10,   0.00000000E+00,  -0.41731577E+10,   0.00000000E+00,   0.00000000E+00,  -0.85840696E+08,   0.00000000E+00,   0.00000000E+00,   0.33963651E-09,
 40560.999,   1,  0.44247243E+10,   0.00000000E+00,  -0.43041534E+10,   0.00000000E+00,   0.00000000E+00,  -0.10224334E+09,   0.00000000E+00,   0.00000000E+00,   0.34899933E-09,
