Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         974.15,   553147.98254,  5152232.76663, 11,   484.526
  3,  1,        2904.45,   551598.26932,  5152731.56627, 11,   482.526
  4,  1,        4802.45,   549859.03478,  5152955.02813, 11,   474.526
  5,  1,        6758.50,   548033.03361,  5153514.38786, 11,   468.526
  6,  1,        8907.45,   545956.39187,  5153214.67882, 11,   448.526
  7,  1,       11061.30,   543886.46477,  5153003.47438, 11,   444.526
  8,  1,       13104.20,   541859.04205,  5153180.41346, 11,   432.526
  9,  1,       15282.45,   539698.32347,  5152979.99051, 11,   432.526
 10,  1,       17520.25,   537731.48603,  5152083.22934, 11,   418.526
 11,  1,       19883.60,   536045.11645,  5150435.63655, 11,   401.526
 12,  1,       22120.75,   534321.17862,  5149079.90052, 11,   400.526
 13,  1,       23915.35,   532728.43754,  5148256.69943, 11,   396.526
 14,  1,       25403.35,   531504.81856,  5147419.82832, 11,   394.526
 15,  1,       26804.95,   530500.02964,  5146447.05367, 11,   392.526
 16,  1,       28421.50,   529437.29407,  5145229.39775, 11,   382.526
 17,  1,       30059.65,   528746.83821,  5143805.45248, 11,   382.526
 18,  1,       31449.45,   528298.04557,  5142513.62154, 11,   378.526
 19,  1,       32696.15,   528146.32802,  5141374.60583, 11,   378.526
 20,  1,       34137.10,   528031.71771,  5140004.04778, 11,   376.526
 21,  1,       35832.70,   527059.91310,  5138694.04342, 11,   368.526
 22,  1,       37606.60,   525793.78316,  5137464.92830, 11,   364.526
 23,  1,       39496.20,   524963.12288,  5135817.53130, 11,   360.526
 24,  1,       41356.70,   525363.59828,  5134298.53269, 11,   360.526
 25,  1,       43329.10,   526215.87737,  5132650.44468, 11,   360.526
 26,  1,       45549.60,   525973.05794,  5130536.08107, 11,   356.526
 27,  1,       48175.00,   524305.28825,  5128631.93161, 11,   356.526
 28,  1,       51168.40,   522334.99641,  5126468.36848, 11,   356.526
 29,  1,       54105.50,   520186.00563,  5124811.53470, 11,   356.526
 30,  1,       57471.95,   516884.23636,  5124671.58096, 11,   356.526
 31,  1,       60400.35,   514209.91762,  5124252.47600, 11,   354.526
 32,  1,       62377.40,   512525.47875,  5123910.31063, 11,   354.526
 33,  1,       64276.50,   510745.52764,  5124571.35814, 11,   354.526
 34,  1,       66232.30,   508870.78692,  5125093.04341, 11,   352.526
 35,  1,       68781.30,   506337.14722,  5125268.64744, 11,   352.526
 36,  1,       71181.05,   504189.91401,  5124659.02185, 11,   352.526
 37,  1,       73068.20,   504239.10138,  5123264.16447, 11,   352.526
 38,  1,       75185.74,   505412.28256,  5121515.04041, 11,   352.526
 39,  1,       76890.99,   506320.45717,  5120081.76885, 11,   352.526
 40,  1,       78277.74,   506646.78245,  5118841.29277, 11,   352.526
 41,  1,       80021.64,   505609.44371,  5118070.19396, 11,   351.526
 42,  1,       82241.49,   503836.13960,  5117112.61634, 11,   351.526
 43,  1,       84166.49,   503466.54294,  5115637.93501, 11,   351.526
 44,  1,       85191.49,   503869.88420,  5114772.16761, 11,   351.526
 45,  1,       85841.49,   503712.59130,  5114151.60406, 11,   351.526
 48,  2,       87160.29,   502593.65862,  5114111.18099, 11,   484.526
 49,  2,       89093.69,   500716.20075,  5114113.01617, 11,   484.526
 50,  2,       90907.14,   498957.98216,  5113669.02385, 11,   481.526
 51,  2,       92555.04,   497472.74156,  5113023.23565, 11,   481.526
 52,  2,       94517.04,   495825.58574,  5111959.05326, 11,   481.526
 53,  2,       96315.04,   494498.22822,  5110819.63711, 11,   481.526
 54,  2,       97708.29,   493409.77584,  5110172.65594, 11,   446.526
 55,  2,       99244.49,   492306.20430,  5109372.54057, 11,   438.526
 56,  2,      100795.45,   491469.59745,  5108082.30550, 11,   438.526
 57,  2,      102440.15,   491221.70520,  5106679.68540, 11,   414.526
 58,  2,      103877.95,   491395.81905,  5105300.80404, 11,   410.526
 59,  2,      105175.24,   491407.12895,  5104023.20380, 11,   402.526
 62,  3,      108617.54,   492469.77921,  5100757.77760, 11,   370.526
 63,  3,      113353.89,   492017.41299,  5096766.51178, 11,   367.526
