"Segment#","WSEL_m"
"       1"," 466.489"
"       2"," 466.489"
"       3"," 466.489"
"       4"," 466.489"
"       5"," 466.489"
"       6"," 466.489"
"       7"," 466.489"
"       8"," 466.489"
"       9"," 466.489"
"      10"," 466.489"
"      11"," 466.489"
"      12"," 466.489"
"      13"," 466.489"
"      14"," 466.489"
"      15"," 466.489"
"      16"," 466.489"
"      17"," 466.489"
"      18"," 466.489"
"      19"," 466.489"
"      20"," 466.489"
"      21"," 466.489"
"      22"," 466.489"
"      23"," 466.489"
"      24"," 466.489"
"      25"," 466.489"
"      26"," 466.489"
"      27"," 466.489"
"      28"," 466.489"
"      29"," 466.489"
"      30"," 466.489"
"      31"," 466.489"
"      32"," 466.489"
"      33"," 466.489"
"      34"," 466.489"
"      35"," 466.489"
"      36"," 466.489"
"      37"," 466.489"
"      38"," 466.489"
"      39"," 466.489"
"      40"," 466.489"
"      41"," 466.489"
"      42"," 466.489"
"      43"," 466.489"
"      44"," 466.489"
"      45"," 466.489"
"      46"," 466.489"
"      47"," 466.489"
"      48"," 466.489"
"      49"," 466.489"
"      50"," 466.489"
"      51"," 466.489"
"      52"," 466.489"
"      53"," 466.489"
"      54"," 466.489"
"      55"," 466.489"
"      56"," 466.489"
"      57"," 466.489"
"      58"," 466.489"
"      59"," 466.489"
"      60"," 466.489"
"      61"," 466.489"
"      62"," 466.489"
"      63"," 466.489"
"      64"," 466.489"
