$JDAY,TDG%
1,97.74
2,97.83
3,97.38
4,97.39
5,97.31
6,97.62
7,98.24
8,97.92
9,97.54
10,96.86
11,97.25
12,98.16
13,98.21
14,98.32
15,97.76
16,99.12
17,97.5
18,97.01
19,95.07
20,95.25
21,96.22
22,95.85
23,96.04
24,96.3
25,95.74
26,95.87
27,96.14
28,97.21
29,97.14
30,96.79
31,95.34
32,94.84
33,94.82
34,94.51
35,95.67
36,95.96
37,96.64
38,98.17
39,97.19
40,97
41,97.67
42,98.33
43,99.93
44,99.43
45,100.71
46,101.05
47,101.61
48,102.44
49,102.83
50,103.01
51,103.11
52,103.53
53,104.18
54,103.75
55,102.97
56,102.59
57,103.43
58,104.18
59,104.37
60,103.14
61,104.02
62,102.97
63,102.31
64,102.72
65,103.17
66,103.82
67,103.18
68,102.84
69,103.94
70,102.92
71,102.97
72,103.27
73,103.45
74,104.28
75,104.24
76,103.44
77,104.37
78,105.11
79,105.13
80,104.31
81,101.87
82,101.87
83,103.03
84,102.95
85,102.95
86,103.17
87,102.45
88,102.21
89,102.69
90,102.73
91,103.11
92,103.79
93,106.82
94,105.12
95,104.12
96,106.77
97,107.57
98,109.07
99,109.51
100,108.78
101,107.23
102,105.49
103,105.95
104,105.43
105,105.47
106,106.91
107,106.63
108,106.42
109,104.93
110,105.12
111,105.36
112,104.73
113,105.31
114,106.38
115,107.09
116,106.53
117,106.99
118,107.66
119,107.26
120,106.92
121,107.03
122,107.44
123,106.79
124,106.28
125,108.79
126,109.24
127,109.75
128,109.85
129,109.95
130,110.72
131,111.23
132,109.15
133,115.5
134,120.26
135,118.19
136,114.6
137,113.23
138,119.28
139,120.35
140,124.5
141,131.75
142,133.67
143,131.75
144,129.77
145,130.09
146,131.72
147,139.13
148,143.34
149,143.47
150,144.04
151,143.74
152,141.37
153,140.48
154,140.02
155,140.18
156,141.3
157,141.96
158,138.88
159,134.41
160,132.49
161,135.87
162,138.94
163,140.54
164,137.6
165,140.99
166,140.47
167,140.54
168,138.73
169,138.9
170,138.82
171,137.45
172,136.22
173,136.73
174,135.92
175,131.21
176,123.5
177,122.86
178,123.27
179,122.64
180,122.04
181,121.16
182,121.95
183,122.37
184,121.53
185,119.21
186,122.04
187,122.87
188,123.11
189,121.79
190,120.76
191,120.79
192,121.23
193,122.11
194,122.84
195,121.45
196,120.7
197,120.6
198,120.26
199,119.88
200,119.78
201,119.06
202,120.32
203,119.3
204,118.7
205,118.44
206,118.72
207,117.06
208,116.19
209,115.62
210,115.84
211,115.38
212,115.21
213,114.18
214,114.3
215,113.93
216,113.51
217,112.94
218,113.11
219,112.72
220,112.79
221,113.61
222,114.27
223,113.91
224,113.36
225,113.32
226,113.37
227,112.47
228,112.19
229,112.17
230,111.89
231,111.94
232,111.97
233,112.09
234,112.18
235,110.82
236,108.74
237,109.5
238,106.42
241,109.26
242,108.79
243,108.11
244,107.55
245,107.43
246,106.81
247,106.74
248,107.49
249,107.94
250,107.9
251,107.71
252,107.91
253,108.02
254,107.43
255,108.09
256,107.97
257,108.23
258,108.17
259,107.25
260,106.39
261,106.25
262,106.52
263,105.34
264,104.57
265,103.41
266,103.46
267,103.48
268,104.4
269,102.8
270,102.89
271,101.28
272,101.72
273,102.3
274,102.37
275,101.31
276,102.07
277,102.02
278,102.25
279,101.24
280,100.25
281,99.18
282,99.61
283,100.56
284,100.52
285,98.73
286,98.33
287,98.52
288,98.68
289,98.39
290,97.77
291,99.15
292,100.47
293,100.57
294,100.04
295,100.04
296,100.14
297,99.9
298,99.04
299,98.98
300,98.97
301,99.78
302,99.34
303,99.64
304,99.34
305,98.38
306,99.24
307,100.33
308,100.05
309,99.6
310,99.19
311,98.74
312,98.22
313,98.01
314,98.64
315,100.16
316,100.01
317,99.97
318,99.11
319,97.65
320,98.17
321,99.68
322,99.92
323,98.84
324,98.25
325,98.74
326,98.88
327,98.01
328,96.75
329,95.86
330,94.65
331,95.94
332,94.76
333,95.38
334,94.87
335,94.35
336,95.4
337,95.31
338,94.75
339,94.8
340,95.08
341,95.13
342,95.04
343,95.07
344,95.85
345,96.08
346,95.52
347,95.77
348,95.7
349,95.6
350,95.05
351,95.6
352,95.76
353,95.96
354,97.64
355,96.97
356,96.53
357,96.53
358,96.74
359,97.86
360,97.93
361,98.9
362,99.71
363,99.41
364,99.97
365,97.98
366,97.7
367,98.43
368,98.35
369,98.74
370,98.83
371,98.26
372,97.71
373,98.03
374,98.61
375,98.49
376,97.58
377,97.73
378,98.21
379,99.57
380,99.5
381,99.62
382,100.48
383,99.67
384,100.29
385,100.5
386,101.97
387,101.12
388,100.49
389,100.1
390,100.25
391,97.71
392,94.13
393,94.62
394,97.02
395,98.01
396,98.34
397,98.41
398,97.11
399,97.9
400,97.95
401,98.02
402,98.17
403,98.49
404,97.82
405,97.51
406,98.27
407,98.51
408,99.56
409,99.1
410,99.63
411,98.64
412,98.31
413,98.91
414,99.97
415,100.28
416,100.1
417,100.19
418,100.45
419,99.64
423,98.35
424,98.93
425,99.87
426,98.96
427,98.07
428,98.56
429,99.49
430,100.67
431,99.1
432,98.01
433,97.72
434,99.36
435,100.84
436,101.52
437,100.9
438,101.64
439,99.91
440,101.04
441,101.54
442,102.85
443,102.24
444,101.71
