JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.051,     0.000,     0.250,    48.550,   821.540,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.420, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.538,     4.885,     0.127,  2701.726,   151.532,     0.250,    48.538,   821.540,     1.000,     4.885,   -68.586,   142.955,   215.100,   329.268,    41.441,    55.933,    19.998,    11.902,     0.000,    97.374,   100.185, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.583,     4.791,     0.096,  2077.395,     0.000,     0.250,    48.583,   821.540,     0.000,     4.791,  -228.932,     0.000,   196.987,   328.824,    38.821,    58.274,    19.996,    11.905,     0.000,    97.164,    99.976, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.535,     4.658,     0.130,  2711.561,   300.231,     0.250,    48.535,   821.540,     1.000,     4.657,    92.438,   283.237,   210.181,   328.195,    36.081,    36.704,    19.994,    11.910,     0.000,    96.864,    99.721, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.410,     4.590,     0.094,  1963.833,     0.000,     0.250,    48.410,   821.540,     0.000,     4.590,  -194.894,     0.000,   206.783,   327.873,    32.918,    40.885,    19.993,    11.914,     0.000,    96.728,    99.600, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.273,     4.462,     0.117,  2423.072,    78.852,     0.250,    48.273,   821.540,     1.000,     4.462,   -71.659,    74.389,   246.396,   327.269,    31.511,    33.664,    19.992,    11.919,     0.000,    96.446,    99.330, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.096,     4.339,     0.124,  2611.776,     0.000,     0.250,    48.096,   821.540,     0.000,     4.339,  -182.470,     0.000,   209.856,   326.689,    30.305,    35.332,    19.998,    11.935,     0.000,    96.269,    99.120, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.986,     2.658,     0.133,  2611.099,    80.869,     0.250,    47.986,   808.870,     1.000,     3.444,   -36.808,    76.291,   250.159,   318.848,    22.959,    21.451,    20.234,    12.282,     0.000,    94.739,    96.882, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.825,     2.375,     0.112,  2066.546,     0.000,     0.250,    47.825,   808.870,     0.000,     3.088,  -143.851,     0.000,   214.480,   317.540,    19.665,    21.126,    20.334,    12.381,     0.000,    94.773,    96.820, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.741,     2.284,     0.129,  2458.290,    26.290,     0.250,    47.741,   808.870,     1.000,     3.086,   -84.905,    24.802,   248.975,   317.119,    18.240,    23.322,    20.340,    12.397,     0.000,    94.657,    96.694, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
