Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         653.65,   354744.40053,  5122924.95921, 11,   117.230
  3,  1,        1764.50,   354172.05944,  5121990.93720, 11,   117.230
  4,  1,        2822.75,   353753.85053,  5121020.24226, 11,   118.230
  5,  1,        4136.10,   352804.20099,  5120295.36192, 11,   116.230
  6,  1,        5510.90,   351565.78296,  5119742.66788, 11,   116.230
  7,  1,        6810.90,   350600.03443,  5118890.18475, 11,   116.230
  8,  1,        8407.45,   349715.46727,  5117570.19203, 11,   115.230
  9,  1,       10136.60,   349133.64671,  5115971.86061, 11,   114.230
 10,  1,       12019.20,   348965.24745,  5114098.95654, 11,   114.230
 11,  1,       14145.90,   348295.86558,  5112180.45867, 11,   114.230
 12,  1,       15837.20,   347438.49879,  5110741.30319, 11,   114.230
 13,  1,       17175.70,   347464.71666,  5109505.66885, 11,   112.230
 14,  1,       18661.45,   347570.74822,  5108093.88390, 11,   111.230
 15,  1,       20163.70,   346871.77055,  5106869.90780, 11,   111.230
 16,  1,       21748.70,   345812.46624,  5105713.47811, 11,   111.230
 17,  1,       23584.35,   344471.62310,  5104531.36553, 11,   110.230
 18,  1,       25267.90,   343347.71005,  5103399.93474, 11,   110.230
 19,  1,       26932.75,   342491.36134,  5101984.82844, 11,   110.230
 20,  1,       28499.90,   341289.86456,  5101340.18881, 11,   109.230
 21,  1,       30209.45,   339656.80874,  5101039.67492, 11,   106.230
 22,  1,       32020.70,   338317.52687,  5099989.40913, 11,   104.230
 23,  1,       33555.10,   337813.30348,  5098558.84208, 11,   104.230
 24,  1,       34947.85,   337286.19675,  5097311.82804, 11,   106.230
 25,  1,       36336.35,   336922.64713,  5096055.46339, 11,   102.230
 26,  1,       37938.85,   336943.17235,  5094453.17486, 11,   102.230
 27,  1,       39567.70,   336161.09132,  5093763.98026, 11,   102.230
 28,  1,       41184.05,   334559.56377,  5093848.20827, 11,   102.230
 29,  1,       42673.41,   333189.67915,  5093411.25179, 11,   102.230
 30,  1,       44139.11,   332055.18610,  5092489.71616, 11,   102.230
 31,  1,       45528.21,   331114.35872,  5091474.41964, 11,   102.230
 32,  1,       46937.76,   330281.01716,  5090337.78547, 11,   102.230
 33,  1,       48111.41,   329462.33421,  5089577.49118, 11,   102.230
 34,  1,       48869.41,   328732.36409,  5089373.26671, 11,   102.230
