                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40544.000,   1,  0.28388243E+06,   0.00000000E+00,  -0.33724411E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.55031557E-10,
 40544.999,   1,  0.32503728E+09,   0.00000000E+00,  -0.39634194E+09,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.52244697E-12,
 40546.000,   1,  0.70190881E+09,   0.00000000E+00,  -0.77206337E+09,   0.00000000E+00,   0.00000000E+00,   0.32342112E+08,   0.00000000E+00,   0.00000000E+00,  -0.81771779E-11,
 40547.000,   1,  0.11068882E+10,   0.00000000E+00,  -0.11461457E+10,   0.00000000E+00,   0.00000000E+00,   0.46440000E+07,   0.00000000E+00,   0.00000000E+00,   0.17198506E-10,
 40548.000,   1,  0.14958284E+10,   0.00000000E+00,  -0.15573643E+10,   0.00000000E+00,   0.00000000E+00,   0.51532416E+08,   0.00000000E+00,   0.00000000E+00,   0.68502554E-10,
 40548.999,   1,  0.18376479E+10,   0.00000000E+00,  -0.19694279E+10,   0.00000000E+00,   0.00000000E+00,   0.14379898E+09,   0.00000000E+00,   0.00000000E+00,  -0.13298441E-09,
 40549.999,   1,  0.22443770E+10,   0.00000000E+00,  -0.23419481E+10,   0.00000000E+00,   0.00000000E+00,   0.67868064E+08,   0.00000000E+00,   0.00000000E+00,   0.56550829E-10,
 40550.999,   1,  0.25884357E+10,   0.00000000E+00,  -0.26644997E+10,   0.00000000E+00,   0.00000000E+00,   0.32350752E+08,   0.00000000E+00,   0.00000000E+00,   0.76545521E-10,
 40552.000,   1,  0.28904595E+10,   0.00000000E+00,  -0.29647266E+10,   0.00000000E+00,   0.00000000E+00,   0.88515936E+08,   0.00000000E+00,   0.00000000E+00,  -0.42314828E-09,
 40553.000,   1,  0.31713294E+10,   0.00000000E+00,  -0.32745203E+10,   0.00000000E+00,   0.00000000E+00,   0.14422493E+09,   0.00000000E+00,   0.00000000E+00,  -0.16165241E-09,
 40553.999,   1,  0.35199085E+10,   0.00000000E+00,  -0.36143655E+10,   0.00000000E+00,   0.00000000E+00,   0.14344906E+09,   0.00000000E+00,   0.00000000E+00,  -0.18231037E-09,
 40554.999,   1,  0.38925818E+10,   0.00000000E+00,  -0.39528018E+10,   0.00000000E+00,   0.00000000E+00,   0.13299725E+09,   0.00000000E+00,   0.00000000E+00,  -0.59868950E-10,
 40555.999,   1,  0.42391596E+10,   0.00000000E+00,  -0.43025194E+10,   0.00000000E+00,   0.00000000E+00,   0.98063136E+08,   0.00000000E+00,   0.00000000E+00,  -0.29498878E-10,
 40557.000,   1,  0.45803492E+10,   0.00000000E+00,  -0.46801843E+10,   0.00000000E+00,   0.00000000E+00,   0.12296794E+09,   0.00000000E+00,   0.00000000E+00,  -0.25962751E-09,
