Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         916.00,   469416.93943,  5161706.93802, 11,   216.920
  3,  1,        2829.50,   468498.99707,  5162848.00999, 11,   216.920
  4,  1,        4313.75,   467084.98348,  5163277.20338, 11,   216.920
  5,  1,        5287.25,   466549.69470,  5163957.60636, 11,   216.920
  6,  1,        6499.00,   466499.32768,  5165159.21362, 11,   213.920
  7,  1,        7904.50,   466984.39922,  5166399.74847, 11,   213.920
  8,  1,        9308.50,   467707.83194,  5167583.35515, 11,   211.920
  9,  1,       10628.50,   468123.57764,  5168831.19857, 11,   213.920
 10,  1,       11634.50,   468343.36723,  5169812.84557, 11,   211.920
 11,  1,       12362.00,   468515.48776,  5170519.23990, 11,   199.920
 12,  1,       12957.00,   468583.06773,  5171101.28553, 11,   210.920
 13,  1,       13521.50,   468516.99747,  5171661.33048, 11,   208.920
 14,  1,       14208.00,   468225.60614,  5172259.90187, 11,   178.920
 15,  1,       15115.00,   467474.96844,  5172625.03152, 11,   209.920
 16,  1,       16108.50,   466499.15490,  5172554.85515, 11,   203.920
 17,  1,       17066.50,   465655.80319,  5172144.37113, 11,   204.920
 18,  1,       18075.50,   464837.20082,  5171555.53369, 11,   208.920
 19,  1,       19218.00,   463824.31565,  5171469.71750, 11,   208.920
 20,  1,       20530.00,   462574.57668,  5171863.69937, 11,   202.920
 21,  1,       22111.50,   461085.50087,  5172384.94829, 11,   199.920
 22,  1,       23833.00,   459434.40372,  5172673.83972, 11,   196.920
 23,  1,       25366.50,   457983.62072,  5172298.39948, 11,   196.920
 24,  1,       26756.50,   456700.37510,  5171786.44330, 11,   196.920
 25,  1,       28324.50,   455451.74245,  5172248.30344, 11,   196.920
 26,  1,       30218.00,   455162.52916,  5173886.49775, 11,   194.920
 27,  1,       32562.50,   454555.80164,  5175845.69278, 11,   192.920
 28,  1,       34613.25,   453170.59553,  5177357.90296, 11,   189.920
 29,  1,       36081.75,   452876.42670,  5178605.31153, 11,   189.920
 30,  1,       37520.25,   453271.76198,  5179988.42117, 11,   189.920
 31,  1,       38928.75,   453183.55827,  5181310.98798, 11,   189.920
 32,  1,       41226.00,   452398.29687,  5183467.75433, 11,   186.920
 33,  1,       44474.50,   450917.32592,  5186315.22066, 11,   186.920
 34,  1,       47616.00,   448738.44172,  5188525.86766, 11,   183.920
 35,  1,       50624.50,   446096.27409,  5189892.58848, 11,   183.920
 36,  1,       53569.00,   443815.93927,  5191532.47600, 11,   181.920
 37,  1,       56011.50,   442279.54572,  5193425.73500, 11,   180.920
 38,  1,       57886.50,   441530.14725,  5195024.19435, 11,   178.920
 39,  1,       59505.50,   441438.12424,  5196640.55676, 11,   178.920
 40,  1,       60926.00,   440822.75455,  5197718.08403, 11,   178.920
 41,  1,       62156.50,   439677.09864,  5198106.14969, 11,   178.920
 42,  1,       63000.00,   438861.67900,  5198289.66274, 11,   178.920
 43,  1,       63369.00,   438524.62946,  5198439.85797, 11,   178.920
 46,  2,       63878.50,   438051.61810,  5198332.17580, 11,   217.920
 47,  2,       64718.00,   437270.49541,  5198342.96806, 11,   217.920
 48,  2,       65498.50,   436542.91265,  5198625.35661, 11,   217.920
 49,  2,       66114.00,   435988.75332,  5198886.89955, 11,   215.920
 50,  2,       66617.50,   435525.39668,  5199048.85293, 11,   210.920
 51,  2,       66992.00,   435152.30758,  5199080.52117, 11,   213.920
