$GATE WITHDRAWAL AT SEG64                                    ELEV OF WITHDRAWAL CENTERLINE:300.     

JDAY,     DOC,     TOC,     TKN,      TN,      TP,     APR,    CHLA,     %DO,      pH,     CO2,    HCO3,     CO3,
  4384.002,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0020,    0.0000,    0.0000,    0.0000,    0.0000,
  4384.100,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4384.202,    2.7004,    3.5565,    0.8527,    0.9809,    0.0637,   -0.0077,    0.9727,  100.0000,    6.8600,    1.1892,    3.9598,    0.0015,
  4384.301,    2.6927,    3.5459,    0.8520,    0.9808,    0.0637,   -0.0076,    0.9591,  100.0000,    6.8600,    1.1911,    3.9660,    0.0015,
  4384.400,    2.6851,    3.5360,    0.8514,    0.9808,    0.0637,   -0.0075,    0.9468,  100.0000,    6.8600,    1.1939,    3.9751,    0.0015,
  4384.502,    2.6774,    3.5260,    0.8508,    0.9809,    0.0637,   -0.0074,    0.9335,  100.0000,    6.8500,    1.2179,    3.9627,    0.0015,
  4384.601,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4384.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4384.800,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4384.902,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.102,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.302,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.400,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.501,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.602,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4385.903,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.102,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.200,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.300,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.402,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.501,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.602,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.701,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.803,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4386.901,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4387.000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4387.101,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4387.202,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4387.301,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
  4387.402,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,  -99.0000,
