                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
      1,     55.000,   306.822,   110.000,     1.156,  1078.168,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      2,    107.000,    12.366,   104.000,     0.999,   342.475,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      3,     48.000,    28.851,   107.000,     0.180,  1026.539,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      4,     52.000,   229.460,   106.000,     1.392,  1029.977,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      5,     43.000,    41.846,   110.000,     0.980,   997.662,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      6,    110.000,   380.592,   104.000,     0.027,   302.873,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      7,     53.000,   343.473,   107.000,     0.083,  1026.985,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      8,     54.000,   449.335,   108.000,     0.753,  1134.840,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
      9,    106.000,   516.275,   106.000,     0.654,   296.966,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     10,     45.000,    61.090,   104.000,     0.390,   546.086,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     11,     58.000,   354.244,   104.000,     1.707,  1091.924,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     12,    109.000,   326.465,   104.000,     1.955,   289.398,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     13,    107.000,    81.566,   104.000,     1.284,   303.689,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     14,     51.000,   311.919,   106.000,     0.994,  1059.701,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     15,     54.000,   348.705,   105.000,     0.863,   987.438,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     16,     51.000,   470.111,   106.000,     0.813,   975.055,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     17,     63.000,   482.575,   121.000,     0.715,   900.892,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     18,     49.000,   250.161,   106.000,     0.490,   997.415,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
