$Flow file for segment 84
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
  4384.002,   52.550,
  4384.100,   52.360,
  4384.202,   52.161,
  4384.301,   51.967,
  4384.400,   51.773,
  4384.502,   51.575,
  4384.601,   51.381,
  4384.701,   51.188,
  4384.800,   50.992,
  4384.902,   50.796,
  4385.000,   50.601,
  4385.102,   50.456,
  4385.200,   50.313,
  4385.302,   50.167,
  4385.400,   50.023,
  4385.501,   49.877,
  4385.602,   49.732,
  4385.701,   49.587,
  4385.803,   49.441,
  4385.903,   49.295,
  4386.000,   49.153,
  4386.102,   48.961,
  4386.200,   48.773,
  4386.300,   48.584,
  4386.402,   48.392,
  4386.501,   48.202,
  4386.602,   48.013,
  4386.701,   47.824,
  4386.803,   47.631,
  4386.901,   47.444,
  4387.000,   47.255,
  4387.101,   47.166,
  4387.202,   47.081,
  4387.301,   46.997,
  4387.402,   46.910,
  4387.500,   46.827,
  4387.601,   46.741,
  4387.702,   46.655,
  4387.801,   46.571,
  4387.901,   46.486,
  4388.000,   46.401,
  4388.100,   46.941,
  4388.200,   47.497,
  4388.301,   48.061,
  4388.401,   48.615,
  4388.501,   49.167,
