$GATE WITHDRAWAL AT SEG64                                    ELEV OF WITHDRAWAL CENTERLINE:300.     

JDAY,QWD(m3s-1)
  4384.002,    0.0164
  4384.100,    0.0000
  4384.202,    0.0000
  4384.301,    0.0001
  4384.400,    0.0002
  4384.502,    0.0002
  4384.601,    0.0000
  4384.701,    0.0000
  4384.800,    0.0000
  4384.902,    0.0000
  4385.000,    0.0000
  4385.102,    0.0000
  4385.200,    0.0000
  4385.302,    0.0000
  4385.400,    0.0000
  4385.501,    0.0000
  4385.602,    0.0000
  4385.701,    0.0000
  4385.803,    0.0000
  4385.903,    0.0000
  4386.000,    0.0000
  4386.102,    0.0000
  4386.200,    0.0000
  4386.300,    0.0000
  4386.402,    0.0000
  4386.501,    0.0000
  4386.602,    0.0000
  4386.701,    0.0000
  4386.803,    0.0000
  4386.901,    0.0000
  4387.000,    0.0000
  4387.101,    0.0000
  4387.202,    0.0000
  4387.301,    0.0000
  4387.402,    0.0000
  4387.500,    0.0000
  4387.601,    0.0000
  4387.702,    0.0000
  4387.801,    0.0000
  4387.901,    0.0000
  4388.000,    0.0000
  4388.100,    0.0000
  4388.200,    0.0000
  4388.301,    0.0000
  4388.401,    0.0000
  4388.501,    0.0000
