$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:280.     

JDAY,QWD(m3s-1)
  4384.002,    4.0000
  4384.100,    4.0000
  4384.202,    4.0000
  4384.301,    4.0000
  4384.400,    4.0000
  4384.502,    4.0000
  4384.601,    4.0000
  4384.701,    4.0000
  4384.800,    4.0000
  4384.902,    4.0000
  4385.000,    4.0000
  4385.102,    4.0000
  4385.200,    4.0000
  4385.302,    4.0000
  4385.400,    4.0000
  4385.501,    4.0000
  4385.602,    4.0000
  4385.701,    4.0000
  4385.803,    4.0000
  4385.903,    4.0000
  4386.000,    4.0000
  4386.102,    4.0000
  4386.200,    4.0000
  4386.300,    4.0000
  4386.402,    4.0000
  4386.501,    4.0000
  4386.602,    4.0000
  4386.701,    4.0000
  4386.803,    4.0000
  4386.901,    4.0000
  4387.000,    4.0000
  4387.101,    4.0000
  4387.202,    4.0000
  4387.301,    4.0000
  4387.402,    4.0000
  4387.500,    4.0000
  4387.601,    4.0000
  4387.702,    4.0000
  4387.801,    4.0000
  4387.901,    4.0000
  4388.000,    4.0000
  4388.100,    4.0000
  4388.200,    4.0000
  4388.301,    4.0000
  4388.401,    4.0000
  4388.501,    4.0000
