$WITHDRAWAL AT SEG84                                         ELEV OF WITHDRAWAL CENTERLINE:250.     

JDAY,QWD(m3s-1)
  4384.002,   10.5100
  4384.100,   10.4721
  4384.202,   10.4322
  4384.301,   10.3933
  4384.400,   10.3546
  4384.502,   10.3150
  4384.601,   10.2763
  4384.701,   10.2377
  4384.800,   10.1984
  4384.902,   10.1592
  4385.000,   10.1202
  4385.102,   10.0913
  4385.200,   10.0627
  4385.302,   10.0334
  4385.400,   10.0047
  4385.501,    9.9754
  4385.602,    9.9463
  4385.701,    9.9175
  4385.803,    9.8881
  4385.903,    9.8590
  4386.000,    9.8306
  4386.102,    9.7922
  4386.200,    9.7547
  4386.300,    9.7167
  4386.402,    9.6784
  4386.501,    9.6404
  4386.602,    9.6025
  4386.701,    9.5648
  4386.803,    9.5261
  4386.901,    9.4888
  4387.000,    9.4510
  4387.101,    9.4333
  4387.202,    9.4162
  4387.301,    9.3995
  4387.402,    9.3820
  4387.500,    9.3653
  4387.601,    9.3482
  4387.702,    9.3310
  4387.801,    9.3141
  4387.901,    9.2973
  4388.000,    9.2801
  4388.100,    9.3881
  4388.200,    9.4995
  4388.301,    9.6122
  4388.401,    9.7229
  4388.501,    9.8333
