$Temperature file for segment 84
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
  4384.002,   25.00,
  4384.100,   24.99,
  4384.202,   24.98,
  4384.301,   24.96,
  4384.400,   25.04,
  4384.502,   25.40,
  4384.601,   25.65,
  4384.701,   25.48,
  4384.800,   25.41,
  4384.902,   25.32,
  4385.000,   25.23,
  4385.102,   25.18,
  4385.200,   25.13,
  4385.302,   25.06,
  4385.400,   25.12,
  4385.501,   25.48,
  4385.602,   25.70,
  4385.701,   25.58,
  4385.803,   25.54,
  4385.903,   25.46,
  4386.000,   25.41,
  4386.102,   25.35,
  4386.200,   25.29,
  4386.300,   25.25,
  4386.402,   25.36,
  4386.501,   25.69,
  4386.602,   25.98,
  4386.701,   25.97,
  4386.803,   25.92,
  4386.901,   25.85,
  4387.000,   25.73,
  4387.101,   25.59,
  4387.202,   25.47,
  4387.301,   25.43,
  4387.402,   25.52,
  4387.500,   25.87,
  4387.601,   26.13,
  4387.702,   26.09,
  4387.801,   25.90,
  4387.901,   25.80,
  4388.000,   25.73,
  4388.100,   25.70,
  4388.200,   25.63,
  4388.301,   25.60,
  4388.401,   25.69,
  4388.501,   25.96,
