$GATE WITHDRAWAL AT SEG64                                    ELEV OF WITHDRAWAL CENTERLINE:300.     

JDAY,T(C)
  4384.002,   25.00
  4384.100,  -99.00
  4384.202,   24.99
  4384.301,   24.98
  4384.400,   24.98
  4384.502,   24.98
  4384.601,  -99.00
  4384.701,  -99.00
  4384.800,  -99.00
  4384.902,  -99.00
  4385.000,  -99.00
  4385.102,  -99.00
  4385.200,  -99.00
  4385.302,  -99.00
  4385.400,  -99.00
  4385.501,  -99.00
  4385.602,  -99.00
  4385.701,  -99.00
  4385.803,  -99.00
  4385.903,  -99.00
  4386.000,  -99.00
  4386.102,  -99.00
  4386.200,  -99.00
  4386.300,  -99.00
  4386.402,  -99.00
  4386.501,  -99.00
  4386.602,  -99.00
  4386.701,  -99.00
  4386.803,  -99.00
  4386.901,  -99.00
  4387.000,  -99.00
  4387.101,  -99.00
  4387.202,  -99.00
  4387.301,  -99.00
  4387.402,  -99.00
  4387.500,  -99.00
  4387.601,  -99.00
  4387.702,  -99.00
  4387.801,  -99.00
  4387.901,  -99.00
  4388.000,  -99.00
  4388.100,  -99.00
  4388.200,  -99.00
  4388.301,  -99.00
  4388.401,  -99.00
  4388.501,  -99.00
