$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:270.     

JDAY,T(C)
  4384.002,   25.00
  4384.100,   24.99
  4384.202,   24.99
  4384.301,   24.98
  4384.400,   24.98
  4384.502,   24.98
  4384.601,   24.98
  4384.701,   24.98
  4384.800,   24.98
  4384.902,   24.97
  4385.000,   24.97
  4385.102,   24.97
  4385.200,   24.96
  4385.302,   24.96
  4385.400,   24.96
  4385.501,   24.96
  4385.602,   24.96
  4385.701,   24.96
  4385.803,   24.96
  4385.903,   24.97
  4386.000,   24.97
  4386.102,   24.97
  4386.200,   24.96
  4386.300,   24.96
  4386.402,   24.96
  4386.501,   24.97
  4386.602,   24.97
  4386.701,   24.97
  4386.803,   24.98
  4386.901,   24.98
  4387.000,   24.97
  4387.101,   24.97
  4387.202,   24.96
  4387.301,   24.96
  4387.402,   24.96
  4387.500,   24.96
  4387.601,   24.96
  4387.702,   24.96
  4387.801,   24.97
  4387.901,   24.97
  4388.000,   24.96
  4388.100,   24.96
  4388.200,   24.96
  4388.301,   24.95
  4388.401,   24.95
  4388.501,   24.96
