$TDA Elev-Tailwater CBT-REV [m=>ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
40544,81.52231222,
40545,80.37073738,
40546,80.34120982,
40547,80.81036994,
40548,80.08202346,
40549,79.13057986,
40550,79.71128854,
40551,80.44947754,
40552,80.30183974,
40553,80.48228594,
40554,79.26181346,
40555,80.49212846,
40556,81.39107862,
40557,79.89173474,
40558,81.55183978,
40559,80.85958254,
40560,80.44947754,
40561,81.91929386,
40562,83.45144614,
40563,83.87139366,
40564,82.82152486,
40565,82.4803175,
40566,82.98228602,
40567,83.96981886,
40568,83.97966138,
40569,83.32021254,
40570,82.12926762,
40571,83.35958262,
40572,83.27099994,
40573,82.09974006,
40574,80.91207598,
40575,82.29002878,
40576,81.99147234,
40577,81.28937258,
40578,81.14173478,
40579,81.53215474,
40580,80.00000246,
40581,79.58005494,
40582,79.8392413,
40583,81.5616823,
40584,82.14239098,
40585,81.8897663,
40586,82.49016002,
40587,82.1194251,
40588,80.29199722,
40589,81.69947758,
40590,82.7099763,
40591,81.83071118,
40592,82.24081618,
40593,81.82086866,
40594,81.91929386,
40595,81.46981878,
40596,80.96128858,
40597,80.95144606,
40598,81.67979254,
40599,80.75131482,
40600,80.59055366,
40601,81.3320235,
40602,81.41076366,
40603,82.6607637,
40604,83.22178734,
40605,82.83136738,
40606,82.04068494,
40607,82.54921514,
40608,81.34186602,
40609,81.4304487,
40610,83.08071122,
40611,81.86023874,
40612,82.9396351,
40613,82.7919973,
40614,82.06036998,
40615,82.4803175,
40616,80.84974002,
40617,82.5623385,
40618,82.76246974,
40619,81.7421285,
40620,82.98228602,
40621,83.37926766,
40622,82.8904225,
40623,82.44094742,
40624,81.0203437,
40625,81.82086866,
40626,83.42191858,
40627,83.52034378,
40628,82.91995006,
40629,82.63123614,
40630,83.75000258,
40631,82.16207602,
40632,82.74934638,
40633,83.82218106,
40634,83.9895039,
40635,85.68241734,
40636,87.5820237,
40637,88.34974026,
40638,87.48031766,
40639,88.11023894,
40640,87.85105258,
40641,87.02100006,
40642,85.8595827,
40643,86.15157746,
40644,86.45997642,
40645,85.0393727,
40646,84.93110498,
40647,84.86220734,
40648,83.73031754,
40649,84.85236482,
40650,82.76246974,
40651,83.19225978,
40652,84.3011837,
40653,83.91076374,
40654,83.90092122,
40655,84.14042254,
40656,84.32086874,
40657,83.37926766,
40658,83.3005275,
40659,83.54987134,
40660,83.21194482,
40661,83.95013382,
40662,84.05183986,
40663,82.9396351,
40664,82.12926762,
40665,83.72047502,
40666,83.08071122,
40667,83.35958262,
40668,83.55971386,
40669,82.16207602,
40670,82.78215478,
40671,82.3818923,
40672,83.46128866,
40673,84.20932018,
40674,85.24934646,
40675,83.28084246,
40676,83.65157738,
40677,86.07939898,
40678,86.5321549,
40679,87.53937278,
40680,89.85236498,
40681,90.47244374,
40682,90.61023902,
40683,90.65945162,
40684,90.44947786,
40685,90.65945162,
40686,90.72178758,
40687,91.12205006,
40688,91.3221813,
40689,91.49934666,
40690,90.62008154,
40691,91.33202382,
40692,91.53215506,
40693,92.12926794,
40694,92.12926794,
40695,91.79134142,
40696,91.61089522,
40697,91.4698191,
40698,91.00065898,
40699,91.6502653,
40700,91.85039654,
40701,91.86023906,
40702,91.61089522,
40703,91.76181386,
40704,91.87008158,
40705,92.2900291,
40706,92.28018658,
40707,91.79134142,
40708,91.6994779,
40709,91.82086898,
40710,91.66995034,
40711,91.8799241,
40712,91.6502653,
40713,90.69226002,
40714,89.77034398,
40715,89.03215498,
40716,89.26181378,
40717,89.77034398,
40718,89.88189254,
40719,91.4206065,
40720,90.16076394,
40721,88.87139382,
40722,88.52034394,
40723,88.19225994,
40724,88.05118382,
40725,88.10039642,
40726,89.31102638,
40727,89.94094766,
40728,89.31102638,
40729,88.7795303,
40730,87.15223366,
40731,87.67060638,
40732,88.44160378,
40733,88.08071138,
40734,88.08071138,
40735,87.97244366,
40736,86.44029138,
40737,84.8917349,
40738,84.3011837,
40739,85.38058006,
40740,85.98097378,
40741,84.6292677,
40742,84.13058002,
40743,84.6620761,
40744,84.5800551,
40745,84.36023882,
40746,83.76968762,
40747,83.55971386,
40748,82.80183982,
40749,82.67060622,
40750,82.78215478,
40751,82.70013378,
40752,82.24081618,
40753,82.28018626,
40754,81.57152482,
40755,81.4304487,
40756,82.77231226,
40757,82.77231226,
40758,80.75131482,
40759,80.58071114,
40760,81.58136734,
40761,82.16207602,
40762,82.00131486,
40763,81.99147234,
40764,81.44029122,
40765,80.78084238,
40766,81.22047494,
40767,81.76181354,
40768,81.23031746,
40769,80.00984498,
40770,79.07152474,
40771,80.52165602,
40772,80.89239094,
40773,81.14173478,
40774,81.22047494,
40775,80.54134106,
40776,80.41010746,
40777,80.12139354,
40778,80.27231218,
40779,80.40026494,
40780,80.89239094,
